id,parent,title,description,execute_order,live,in_default,short_description
1,,Same-Origin Policy,"<p>The same-origin policy (SOP) is arguably the most important principle in browser security. In this category, we test the browser's SOP implementation for DOM access, cookies, and requests     using the <em>XMLHttpRequest</em> API.</p>",1,t,t,"Covers the browser's implementation of the <a href=""https://developer.mozilla.org/en-US/docs/Web/Security/Same-origin_policy"">same-origin policy</a>."
2,1,DOM access,"<p>In all document object model (DOM) tests, we are always testing whether one page can access the DOM of another. In each test we refer to a parent and a child, where the child is an &lt;iframe&gt; inside the parent. When a parent accesses its child frame, it uses the <span class=""tt"">contentWindow</span> property. When a child frame accesses its parent, it does so with the <span class=""tt"">window.parent</span> property. In each test, one page tries to access the <span class=""tt"">document.location.protocol</span> property of the other. This is one of many properties for which access should be restricted by the same-origin policy.</p><p>DOM access should be denied by the browser whenever the origins of the two pages are different. An origin is usually a (scheme, host, port) tuple, except Internet Explorer doesn't compare the port when comparing two origins. The vast majority of the SOP for DOM tests below test cross-origin requests in which the hosts are different.</p><p>We also test that the <span class=""tt"">document.domain</span> can be used to loosen the same-origin policy restrictions. This property allows two co-operating pages to allow cross-origin DOM access between them. Any page may set <span class=""tt"">document.domain</span> to be a subset of its current hostname. If two pages each set their <span class=""tt"">document.domain</span> properties to the same value, they will appear to have the same origin and so DOM access between them will be granted. It is not sufficient for just one of the two pages to set their <span class=""tt"">document.domain</span> value, and the value must be a fully-qualified right-hand fragment of the page's current hostname. We test a wide range of legal and illegal <span class=""tt"">document.domain</span> values, and that DOM access is always correctly allowed or blocked.</p>",1,t,t,
3,1,"DOM access - parent https://browseraudit.com, child https://test.browseraudit.com - child accessing parent",,2,t,t,
4,1,"DOM access - parent https://browseraudit.com, child https://test.browseraudit.com - parent accessing child",,3,t,t,
5,1,"DOM access - parent https://test.browseraudit.com, child https://browseraudit.com - child accessing parent",,4,t,t,
6,1,"DOM access - parent https://test.browseraudit.com, child https://browseraudit.com - parent accessing child",,5,t,t,
8,1,Cookies - domain scope,"<p>The same-origin policy for cookies defines when a browser should send a cookie with an HTTP request. Cookies often contain private and sensitive data, and so should only be sent with requests to the intended origin. The scope of a cookie (that is, the requests it will be sent with) can be broadened with the <em>Domain</em> parameter. It can be set to any fully-qualified right-hand segment of the qualified hostname, up to one level below the TLD. This means that a page at <span class=""tt"">payments.secure.example.com</span> may tell the browser to send a cookie to <span class=""tt"">*.secure.example.com</span> or <span class=""tt"">*.example.com</span> but not to <span class=""tt"">www.payments.secure.com</span> (since this is more specific than the page's current hostname) or <span class=""tt"">*.com</span> (since this is too broad).</p><p>We test that the browser's SOP for cookies behaves correctly when domain scope is set with the <em>Domain</em> parameter. We also test that illegal values are not allowed.</p>",7,t,t,
9,1,Cookies - illegal domain values,,8,t,t,
10,1,Cookies - path scope,"<p>Whilst the <em>Domain</em> parameter of a cookie can be used to broaden its scope, the <em>Path</em> property can be used to <strong>restrict</strong> a cookie's scope. It specifies a path prefix, telling the browser to send the cookie only with requests matching that path. The paths are matched from the left, so a cookie with a path of <span class=""tt"">/user</span> will be sent with requests to both <span class=""tt"">/user/status</span> and <span class=""tt"">/user/account</span>. We test this behaviour below.</p>",9,t,t,
11,,Content Security Policy,"<p>In this category, we test that the browser correctly implements <a href=""http://www.w3.org/TR/CSP/"" target=""_blank"">Content Security Policy 1.0</a> (Sterne, Brandon, and Adam Barth, 2012). This means that we test the Content Security Policy (CSP) using only the <span class=""tt"">Content-Security-Policy</span> header, and not the <span class=""tt"">X-Content-Security-Policy</span> and <span class=""tt"">X-WebKit-CSP</span> headers used in experimental implementations in older browsers. A browser that implements the CSP using one of the latter two headers will fail many of the below tests.</p><p>The CSP is a mechanism used to mitigate cross-site scripting (XSS) attacks. It introduces the concept of <strong>source whitelists</strong>. A web developer can use the <span class=""tt"">Content-Security-Policy</span> header to explicitly specify the sources from which scripts, stylesheets and many other resources may be loaded. This can be done on a per-document basis by serving a different header value with each page.</p><p>We test a variety of origin mismatches for many resource types. At present, we only check origins that differ in host/domain. We do not test for origins that differ in scheme or port. A test referring to a &ldquo;remote&rdquo; resource is referring to a resource loaded from our subdomain <span class=""tt"">test.browseraudit.com</span>. A &ldquo;local&ldquo; resource is one loaded from the same origin as this page.</p><p>The number of tests executed below depends on your browser. For example, some tests will only be executed if a Flash plugin is installed.</p>",2,t,t,"Covers the browser's implementation of the <a href=""http://www.w3.org/TR/2012/CR-CSP-20121115/"">Content Security Policy 1.0</a>."
