version,votes_for,votes_against,votes_net,votes_total,votes_ratio,release_date
webview_ios_18.2.0,852,95,757,947,0.8996832101372756,2024-12-11
webview_ios_18.3.0,852,95,757,947,0.8996832101372756,UNKNOWN
webview_ios_18,849,98,751,947,0.8965153115100317,2024-09-16
webview_ios_18.1.0,849,98,751,947,0.8965153115100317,2024-10-28
webview_ios_17,847,100,747,947,0.8944033790918691,2023-09-18
webview_ios_17.1.0,847,100,747,947,0.8944033790918691,2023-10-25
webview_ios_17.5.0,847,100,747,947,0.8944033790918691,2024-05-13
webview_ios_17.6.0,847,100,747,947,0.8944033790918691,2024-07-29
webview_ios_17.4.0,846,101,745,947,0.8933474128827877,2024-03-05
webview_ios_17.2.0,845,102,743,947,0.8922914466737064,2023-12-11
webview_ios_17.3.0,845,102,743,947,0.8922914466737064,2024-01-22
webview_ios_16.4.0,844,103,741,947,0.8912354804646251,2023-03-27
webview_ios_16.5.0,844,103,741,947,0.8912354804646251,2023-05-18
webview_ios_16.6.0,844,103,741,947,0.8912354804646251,2023-07-24
safari_18.2.0,850,112,738,962,0.8835758835758836,2024-12-11
safari_18.3.0,850,112,738,962,0.8835758835758836,UNKNOWN
safari_18,847,115,732,962,0.8804573804573804,2024-09-16
safari_18.1.0,847,115,732,962,0.8804573804573804,2024-10-28
safari_ios_18.2.0,846,116,730,962,0.8794178794178794,2024-12-11
safari_ios_18.3.0,846,116,730,962,0.8794178794178794,UNKNOWN
safari_17,845,117,728,962,0.8783783783783784,2023-09-18
safari_17.1.0,845,117,728,962,0.8783783783783784,2023-10-25
safari_17.5.0,845,117,728,962,0.8783783783783784,2024-05-13
safari_17.6.0,845,117,728,962,0.8783783783783784,2024-07-29
safari_17.4.0,844,118,726,962,0.8773388773388774,2024-03-05
safari_17.2.0,843,119,724,962,0.8762993762993763,2023-12-11
safari_17.3.0,843,119,724,962,0.8762993762993763,2024-01-22
safari_ios_18,843,119,724,962,0.8762993762993763,2024-09-16
safari_ios_18.1.0,843,119,724,962,0.8762993762993763,2024-10-28
safari_16.4.0,841,121,720,962,0.8742203742203742,2023-03-27
safari_16.5.0,841,121,720,962,0.8742203742203742,2023-05-18
safari_16.6.0,841,121,720,962,0.8742203742203742,2023-07-24
safari_ios_17,841,121,720,962,0.8742203742203742,2023-09-18
safari_ios_17.1.0,841,121,720,962,0.8742203742203742,2023-10-25
safari_ios_17.5.0,841,121,720,962,0.8742203742203742,2024-05-13
safari_ios_17.6.0,841,121,720,962,0.8742203742203742,2024-07-29
safari_ios_17.4.0,840,122,718,962,0.8731808731808732,2024-03-05
safari_ios_17.2.0,839,123,716,962,0.8721413721413721,2023-12-11
safari_ios_17.3.0,839,123,716,962,0.8721413721413721,2024-01-22
safari_ios_16.4.0,838,124,714,962,0.8711018711018711,2023-03-27
safari_ios_16.5.0,838,124,714,962,0.8711018711018711,2023-05-18
safari_ios_16.6.0,838,124,714,962,0.8711018711018711,2023-07-24
webview_ios_16.2.0,800,147,653,947,0.8447729672650475,2022-12-13
webview_ios_16.3.0,800,147,653,947,0.8447729672650475,2023-01-23
webview_ios_16,799,148,651,947,0.8437170010559663,2022-09-12
webview_ios_16.1.0,799,148,651,947,0.8437170010559663,2022-10-24
webview_ios_15.4.0,797,150,647,947,0.8416050686378036,2022-03-14
webview_ios_15.5.0,797,150,647,947,0.8416050686378036,2022-05-16
webview_ios_15.6.0,797,150,647,947,0.8416050686378036,2022-07-20
safari_15.4.0,801,161,640,962,0.8326403326403327,2022-03-14
safari_15.5.0,801,161,640,962,0.8326403326403327,2022-05-16
safari_15.6.0,801,161,640,962,0.8326403326403327,2022-07-20
