version,votes_for,votes_against,votes_net,votes_total,votes_ratio,release_date
WebKit_620.1.16,852,95,757,947,0.8996832101372756,2024-12-11
WebKit_620.2.2,852,95,757,947,0.8996832101372756,UNKNOWN
WebKit_619.1.26,849,98,751,947,0.8965153115100317,2024-09-16
WebKit_619.2.8,849,98,751,947,0.8965153115100317,2024-10-28
WebKit_616.1.27,847,100,747,947,0.8944033790918691,2023-09-18
WebKit_616.2.9,847,100,747,947,0.8944033790918691,2023-10-25
WebKit_618.2.12,847,100,747,947,0.8944033790918691,2024-05-13
WebKit_618.3.11,847,100,747,947,0.8944033790918691,2024-07-29
WebKit_618.1.15,846,101,745,947,0.8933474128827877,2024-03-05
WebKit_617.1.17,845,102,743,947,0.8922914466737064,2023-12-11
WebKit_617.2.4,845,102,743,947,0.8922914466737064,2024-01-22
WebKit_615.1.26,844,103,741,947,0.8912354804646251,2023-03-27
WebKit_615.2.9,844,103,741,947,0.8912354804646251,2023-05-18
WebKit_615.3.12,844,103,741,947,0.8912354804646251,2023-07-24
WebKit_620.1.16,850,112,738,962,0.8835758835758836,2024-12-11
WebKit_620.2.2,850,112,738,962,0.8835758835758836,UNKNOWN
WebKit_619.1.26,847,115,732,962,0.8804573804573804,2024-09-16
WebKit_619.2.8,847,115,732,962,0.8804573804573804,2024-10-28
WebKit_620.1.16,846,116,730,962,0.8794178794178794,2024-12-11
WebKit_620.2.2,846,116,730,962,0.8794178794178794,UNKNOWN
WebKit_616.1.27,845,117,728,962,0.8783783783783784,2023-09-18
WebKit_616.2.9,845,117,728,962,0.8783783783783784,2023-10-25
WebKit_618.2.12,845,117,728,962,0.8783783783783784,2024-05-13
WebKit_618.3.11,845,117,728,962,0.8783783783783784,2024-07-29
WebKit_618.1.15,844,118,726,962,0.8773388773388774,2024-03-05
WebKit_617.1.17,843,119,724,962,0.8762993762993763,2023-12-11
WebKit_617.2.4,843,119,724,962,0.8762993762993763,2024-01-22
WebKit_619.1.26,843,119,724,962,0.8762993762993763,2024-09-16
WebKit_619.2.8,843,119,724,962,0.8762993762993763,2024-10-28
WebKit_615.1.26,841,121,720,962,0.8742203742203742,2023-03-27
WebKit_615.2.9,841,121,720,962,0.8742203742203742,2023-05-18
WebKit_615.3.12,841,121,720,962,0.8742203742203742,2023-07-24
WebKit_616.1.27,841,121,720,962,0.8742203742203742,2023-09-18
WebKit_616.2.9,841,121,720,962,0.8742203742203742,2023-10-25
WebKit_618.2.12,841,121,720,962,0.8742203742203742,2024-05-13
WebKit_618.3.11,841,121,720,962,0.8742203742203742,2024-07-29
WebKit_618.1.15,840,122,718,962,0.8731808731808732,2024-03-05
WebKit_617.1.17,839,123,716,962,0.8721413721413721,2023-12-11
WebKit_617.2.4,839,123,716,962,0.8721413721413721,2024-01-22
WebKit_615.1.26,838,124,714,962,0.8711018711018711,2023-03-27
WebKit_615.2.9,838,124,714,962,0.8711018711018711,2023-05-18
WebKit_615.3.12,838,124,714,962,0.8711018711018711,2023-07-24
